ticker,date,price
AAPL,2024-01-05,192.88
AAPL,2024-01-08,191.44
AAPL,2024-01-09,193.45
AAPL,2024-01-10,196.14
AAPL,2024-01-11,192.06
AAPL,2024-01-12,193.09
AAPL,2024-01-15,194.01
AAPL,2024-01-16,194.83
AAPL,2024-01-17,196.29
AAPL,2024-01-18,197.04
AAPL,2024-01-19,197.84
AAPL,2024-01-22,197.06
AAPL,2024-01-23,196.31
AAPL,2024-01-24,193.05
AAPL,2024-01-25,189.32
AAPL,2024-01-26,190.43
AAPL,2024-01-29,190.13
AAPL,2024-01-30,188.79
AAPL,2024-01-31,185.87
AAPL,2024-02-01,181.91
AAPL,2024-02-02,185.86
AAPL,2024-02-05,187.69
AAPL,2024-02-06,184.95
AAPL,2024-02-07,184.81
AAPL,2024-02-08,185.07
AAPL,2024-02-09,183.29
AAPL,2024-02-12,182.7
AAPL,2024-02-13,184.45
AAPL,2024-02-14,187.17
AAPL,2024-02-15,190.51
AAPL,2024-02-16,190.23
AAPL,2024-02-19,188.3
AAPL,2024-02-20,188.64
AAPL,2024-02-21,187.11
AAPL,2024-02-22,186.64
AAPL,2024-02-23,182.96
AAPL,2024-02-26,184.48
AAPL,2024-02-27,186.33
AAPL,2024-02-28,190.52
AAPL,2024-02-29,190.82
AAPL,2024-03-01,188.04
AAPL,2024-03-04,186.81
AAPL,2024-03-05,188.4
AAPL,2024-03-06,191.98
AAPL,2024-03-07,191.72
AAPL,2024-03-08,190.2
AAPL,2024-03-11,187.58
AAPL,2024-03-12,191.02
AAPL,2024-03-13,190.57
AAPL,2024-03-14,191.48
AAPL,2024-03-15,192.85
AAPL,2024-03-18,188.97
AAPL,2024-03-19,188.42
AAPL,2024-03-20,190.25
AAPL,2024-03-21,190.48
AAPL,2024-03-22,186.91
AAPL,2024-03-25,186.82
AAPL,2024-03-26,183.01
AAPL,2024-03-27,185.52
AAPL,2024-03-28,189.94
MSFT,2023-10-02,322.85
MSFT,2023-10-03,315.97
MSFT,2023-10-04,315.64
MSFT,2023-10-05,314.23
MSFT,2023-10-06,315.9
MSFT,2023-10-09,315.91
MSFT,2023-10-10,320.15
MSFT,2023-10-11,325.86
MSFT,2023-10-12,330.58
MSFT,2023-10-13,331.8
MSFT,2023-10-16,331.33
MSFT,2023-10-17,328.58
MSFT,2023-10-18,320.7
MSFT,2023-10-19,315.32
MSFT,2023-10-20,317.75
MSFT,2023-10-23,312.97
MSFT,2023-10-24,311.18
MSFT,2023-10-25,309.33
MSFT,2023-10-26,307.11
MSFT,2023-10-27,308.85
MSFT,2023-10-30,303.53
MSFT,2023-10-31,302.8
MSFT,2023-11-01,298.78
MSFT,2023-11-02,305.96
MSFT,2023-11-03,308.85
MSFT,2023-11-06,301.29
MSFT,2023-11-07,302.75
MSFT,2023-11-08,306.65
MSFT,2023-11-09,303.81
MSFT,2023-11-10,308.58
MSFT,2023-11-13,305.51
MSFT,2023-11-14,298.68
MSFT,2023-11-15,305.06
MSFT,2023-11-16,308.18
MSFT,2023-11-17,306.66
MSFT,2023-11-20,307.98
MSFT,2023-11-21,304.67
MSFT,2023-11-22,308.1
MSFT,2023-11-23,304.84
MSFT,2023-11-24,301.43
MSFT,2023-11-27,298.56
MSFT,2023-11-28,301.54
MSFT,2023-11-29,299.52
MSFT,2023-11-30,302.53
MSFT,2023-12-01,299.67
MSFT,2023-12-04,299.26
MSFT,2023-12-05,300.53
MSFT,2023-12-06,294.97
MSFT,2023-12-07,290.2
MSFT,2023-12-08,289.52
MSFT,2023-12-11,294.9
MSFT,2023-12-12,295.29
MSFT,2023-12-13,294.99
MSFT,2023-12-14,296.38
MSFT,2023-12-15,292.68
MSFT,2023-12-18,293.79
MSFT,2023-12-19,290.38
MSFT,2023-12-20,293.99
MSFT,2023-12-21,295.58
MSFT,2023-12-22,302.32
MSFT,2023-12-25,299.67
MSFT,2023-12-26,304.25
MSFT,2023-12-27,306.17
MSFT,2023-12-28,307.91
MSFT,2023-12-29,304.59
MSFT,2024-01-01,311.25
MSFT,2024-01-02,311.08
MSFT,2024-01-03,314.85
MSFT,2024-01-04,313.07
MSFT,2024-01-05,320.14
MSFT,2024-01-08,311.42
MSFT,2024-01-09,315.81
MSFT,2024-01-10,313.97
MSFT,2024-01-11,311.87
MSFT,2024-01-12,305.87
MSFT,2024-01-15,300.98
MSFT,2024-01-16,305.01
MSFT,2024-01-17,301.15
MSFT,2024-01-18,299.45
MSFT,2024-01-19,299.93
MSFT,2024-01-22,300.85
MSFT,2024-01-23,294.3
MSFT,2024-01-24,290.67
MSFT,2024-01-25,292.23
MSFT,2024-01-26,290.34
MSFT,2024-01-29,288.67
MSFT,2024-01-30,290.35
MSFT,2024-01-31,286.81
MSFT,2024-02-01,285.87
MSFT,2024-02-02,285.32
MSFT,2024-02-05,285.6
MSFT,2024-02-06,281.39
MSFT,2024-02-07,281.06
MSFT,2024-02-08,288.9
MSFT,2024-02-09,287.27
MSFT,2024-02-12,282.5
MSFT,2024-02-13,278.21
MSFT,2024-02-14,270.33
MSFT,2024-02-15,274.19
MSFT,2024-02-16,277.06
MSFT,2024-02-19,274.76
MSFT,2024-02-20,271.39
MSFT,2024-02-21,274.88
MSFT,2024-02-22,270.3
MSFT,2024-02-23,268.14
MSFT,2024-02-26,269.65
MSFT,2024-02-27,268.41
MSFT,2024-02-28,271.77
MSFT,2024-02-29,269.33
MSFT,2024-03-01,271.67
MSFT,2024-03-04,269.33
MSFT,2024-03-05,264.32
MSFT,2024-03-06,261.37
MSFT,2024-03-07,259.03
MSFT,2024-03-08,254.19
MSFT,2024-03-11,258.43
MSFT,2024-03-12,256.64
MSFT,2024-03-13,257.9
MSFT,2024-03-14,260.28
MSFT,2024-03-15,258.87
MSFT,2024-03-18,262.31
MSFT,2024-03-19,258.72
MSFT,2024-03-20,263.45
MSFT,2024-03-21,256.82
MSFT,2024-03-22,256.96
MSFT,2024-03-25,257.51
MSFT,2024-03-26,260.01
MSFT,2024-03-27,256.67
MSFT,2024-03-28,252.93
GOOG,2023-10-02,136.74
GOOG,2023-10-03,139.76
GOOG,2023-10-04,139.84
GOOG,2023-10-05,139.43
GOOG,2023-10-06,139.47
GOOG,2023-10-09,141.39
GOOG,2023-10-10,141.6
GOOG,2023-10-11,140.07
GOOG,2023-10-12,138.32
GOOG,2023-10-13,136.51
GOOG,2023-10-16,135.53
GOOG,2023-10-17,136.66
GOOG,2023-10-18,134.27
GOOG,2023-10-19,133.03
GOOG,2023-10-20,134.53
GOOG,2023-10-23,132.27
GOOG,2023-10-24,133.92
GOOG,2023-10-25,132.6
GOOG,2023-10-26,132.09
GOOG,2023-10-27,130.13
GOOG,2023-10-30,131.54
GOOG,2023-10-31,131.4
GOOG,2023-11-01,132.35
GOOG,2023-11-02,132.18
GOOG,2023-11-03,130.61
GOOG,2023-11-06,128.82
GOOG,2023-11-07,129.72
GOOG,2023-11-08,130.37
GOOG,2023-11-09,132.08
GOOG,2023-11-10,131.99
GOOG,2023-11-13,130.77
GOOG,2023-11-14,129.56
GOOG,2023-11-15,131.69
GOOG,2023-11-16,129.21
GOOG,2023-11-17,131.03
GOOG,2023-11-20,127.47
GOOG,2023-11-21,124.46
GOOG,2023-11-22,124.33
GOOG,2023-11-23,123.76
GOOG,2023-11-24,122.38
GOOG,2023-11-27,119.23
GOOG,2023-11-28,119.68
GOOG,2023-11-29,118.26
GOOG,2023-11-30,117.54
GOOG,2023-12-01,118.91
GOOG,2023-12-04,121.43
GOOG,2023-12-05,120.47
GOOG,2023-12-06,119.99
GOOG,2023-12-07,122.17
GOOG,2023-12-08,121.96
GOOG,2023-12-11,123.49
GOOG,2023-12-12,125.36
GOOG,2023-12-13,125.11
GOOG,2023-12-14,124.48
GOOG,2023-12-15,124.28
GOOG,2023-12-18,124.42
GOOG,2023-12-19,125.55
GOOG,2023-12-20,122.69
GOOG,2023-12-21,119.92
GOOG,2023-12-22,121.41
GOOG,2023-12-25,122.03
GOOG,2023-12-26,121.64
GOOG,2023-12-27,121.83
GOOG,2023-12-28,126.46
GOOG,2023-12-29,125.64
GOOG,2024-01-01,129.41
GOOG,2024-01-02,126.81
GOOG,2024-01-03,127.98
GOOG,2024-01-04,127.37
GOOG,2024-01-05,127.24
GOOG,2024-01-08,128.79
GOOG,2024-01-09,129.52
GOOG,2024-01-10,128.11
GOOG,2024-01-11,130.8
GOOG,2024-01-12,128.31
GOOG,2024-01-15,125.03
GOOG,2024-01-16,124.65
GOOG,2024-01-17,122.64
GOOG,2024-01-18,125.06
GOOG,2024-01-19,123.61
GOOG,2024-01-22,121.89
GOOG,2024-01-23,118.94
GOOG,2024-01-24,117.31
GOOG,2024-01-25,117.67
GOOG,2024-01-26,117.81
GOOG,2024-01-29,117.04
GOOG,2024-01-30,118.06
GOOG,2024-01-31,118.57
GOOG,2024-02-01,118.79
GOOG,2024-02-02,119.14
GOOG,2024-02-05,120.5
GOOG,2024-02-06,117.72
GOOG,2024-02-07,117.92
GOOG,2024-02-08,119.09
GOOG,2024-02-09,119.85
GOOG,2024-02-12,120.46
GOOG,2024-02-13,119.89
GOOG,2024-02-14,119.6
GOOG,2024-02-15,118.64
GOOG,2024-02-16,118.8
GOOG,2024-02-19,117.22
GOOG,2024-02-20,117.33
GOOG,2024-02-21,118.33
GOOG,2024-02-22,116.95
GOOG,2024-02-23,119.63
GOOG,2024-02-26,120.0
GOOG,2024-02-27,116.92
GOOG,2024-02-28,117.46
GOOG,2024-02-29,119.36
GOOG,2024-03-01,121.03
GOOG,2024-03-04,121.66
GOOG,2024-03-05,120.3
GOOG,2024-03-06,120.69
GOOG,2024-03-07,120.27
GOOG,2024-03-08,118.96
GOOG,2024-03-11,116.08
GOOG,2024-03-12,111.48
GOOG,2024-03-13,108.23
GOOG,2024-03-14,109.2
GOOG,2024-03-15,109.89
GOOG,2024-03-18,112.75
GOOG,2024-03-19,113.64
GOOG,2024-03-20,113.67
GOOG,2024-03-21,113.17
GOOG,2024-03-22,113.28
GOOG,2024-03-25,116.01
GOOG,2024-03-26,115.38
GOOG,2024-03-27,114.83
GOOG,2024-03-28,115.32
